0,-0.09
0.002,-0.015
0.004,0.03
0.006,0.06
0.008,0.065
0.01,0.05
0.012,0.015
0.014,-0.02
0.016,-0.055
0.018,-0.07
0.02,-0.07
0.022,-0.055
0.024,-0.025
0.026,0.005
0.028,0.03
0.03,0.04
0.032,0.035
0.034,0.015
0.036,-0.015
0.038,-0.045
0.04,-0.075
0.042,-0.09
0.044,-0.095
0.046,-0.085
0.048,-0.07
0.05,-0.05
0.052,-0.03
0.054,-0.02
0.056,-0.02
0.058,-0.02
0.06,-0.03
0.062,-0.035
0.064,-0.045
0.066,-0.045
0.068,-0.04
0.07,-0.035
0.072,-0.025
0.074,-0.02
0.076,-0.02
0.078,-0.025
0.08,-0.035
0.082,-0.045
0.084,-0.055
0.086,-0.06
0.088,-0.06
0.09,-0.055
0.092,-0.045
0.094,-0.035
0.096,-0.03
0.098,-0.025
0.1,-0.025
0.102,-0.03
0.104,-0.035
0.106,-0.04
0.108,-0.05
0.11,-0.05
0.112,-0.045
0.114,-0.04
0.116,-0.035
0.118,-0.025
0.12,-0.015
0.122,-0.01
0.124,-0.005
0.126,-0.005
0.128,-0.005
0.13,-0.01
0.132,-0.01
0.134,-0.01
0.136,-0.01
0.138,-0.005
0.14,0.005
0.142,0.015
0.144,0.025
0.146,0.04
0.148,0.05
0.15,0.055
0.152,0.06
0.154,0.065
0.156,0.06
0.158,0.05
0.16,0.04
0.162,0.03
0.164,0.02
0.166,0.01
0.168,0.01
0.17,0.01
0.172,0.015
0.174,0.02
0.176,0.03
0.178,0.035
0.18,0.04
0.182,0.045
0.184,0.045
0.186,0.045
0.188,0.045
0.19,0.05
0.192,0.05
0.194,0.055
0.196,0.055
0.198,0.055
0.2,0.06
0.202,0.06
0.204,0.065
0.206,0.07
0.208,0.08
0.21,0.09
0.212,0.105
0.214,0.12
0.216,0.13
0.218,0.14
0.22,0.145
0.222,0.145
0.224,0.14
0.226,0.135
0.228,0.13
0.23,0.13
0.232,0.135
0.234,0.145
0.236,0.16
0.238,0.175
0.24,0.19
0.242,0.2
0.244,0.205
0.246,0.205
0.248,0.195
0.25,0.185
0.252,0.17
0.254,0.16
0.256,0.15
0.258,0.15
0.26,0.15
0.262,0.155
0.264,0.16
0.266,0.17
0.268,0.175
0.27,0.175
0.272,0.175
0.274,0.175
0.276,0.175
0.278,0.17
0.28,0.165
0.282,0.165
0.284,0.16
0.286,0.15
0.288,0.14
0.29,0.13
0.292,0.115
0.294,0.105
0.296,0.095
0.298,0.085
0.3,0.08
0.302,0.075
0.304,0.075
0.306,0.08
0.308,0.08
0.31,0.08
0.312,0.075
0.314,0.07
0.316,0.065
0.318,0.055
0.32,0.05
0.322,0.04
0.324,0.035
0.326,0.025
0.328,0.02
0.33,0.015
0.332,0.005
0.334,0
0.336,-0.01
0.338,-0.015
0.34,-0.02
0.342,-0.025
0.344,-0.03
0.346,-0.03
0.348,-0.03
0.35,-0.03
0.352,-0.02
0.354,-0.015
0.356,-0.01
0.358,-0.005
0.36,0
0.362,0.005
0.364,0.005
0.366,0
0.368,-0.005
0.37,-0.01
0.372,-0.015
0.374,-0.02
0.376,-0.03
0.378,-0.03
0.38,-0.03
0.382,-0.03
0.384,-0.025
