          0.000	  0.020
          0.002	  0.015
          0.004	  0.005
          0.006	  0.000
          0.008	 -0.010
          0.010	 -0.015
          0.012	 -0.020
          0.014	 -0.020
          0.016	 -0.020
          0.018	 -0.020
          0.020	 -0.015
          0.022	 -0.010
          0.024	 -0.010
          0.026	 -0.010
          0.028	 -0.010
          0.030	 -0.010
          0.032	 -0.010
          0.034	 -0.010
          0.036	 -0.010
          0.038	 -0.005
          0.040	 -0.005
          0.042	  0.000
          0.044	  0.005
          0.046	  0.010
          0.048	  0.010
          0.050	  0.010
          0.052	  0.010
          0.054	  0.010
          0.056	  0.010
          0.058	  0.010
          0.060	  0.005
          0.062	  0.005
          0.064	  0.000
          0.066	  0.000
          0.068	 -0.005
          0.070	 -0.010
          0.072	 -0.015
          0.074	 -0.015
          0.076	 -0.015
          0.078	 -0.010
          0.080	 -0.005
          0.082	  0.000
          0.084	  0.000
          0.086	  0.005
          0.088	  0.005
          0.090	  0.000
          0.092	 -0.010
          0.094	 -0.020
          0.096	 -0.025
          0.098	 -0.030
          0.100	 -0.035
          0.102	 -0.030
          0.104	 -0.025
          0.106	 -0.020
          0.108	 -0.015
          0.110	 -0.010
          0.112	 -0.010
          0.114	 -0.010
          0.116	 -0.015
          0.118	 -0.020
          0.120	 -0.025
          0.122	 -0.025
          0.124	 -0.025
          0.126	 -0.025
          0.128	 -0.020
          0.130	 -0.010
          0.132	  0.000
          0.134	  0.005
          0.136	  0.010
          0.138	  0.010
          0.140	  0.010
          0.142	  0.005
          0.144	  0.005
          0.146	  0.005
          0.148	  0.005
          0.150	  0.010
          0.152	  0.015
          0.154	  0.020
          0.156	  0.025
          0.158	  0.030
          0.160	  0.035
          0.162	  0.040
          0.164	  0.040
          0.166	  0.040
          0.168	  0.040
          0.170	  0.040
          0.172	  0.035
          0.174	  0.025
          0.176	  0.010
          0.178	 -0.005
          0.180	 -0.020
          0.182	 -0.035
          0.184	 -0.045
          0.186	 -0.050
          0.188	 -0.050
          0.190	 -0.045
          0.192	 -0.035
          0.194	 -0.025
          0.196	 -0.015
          0.198	 -0.010
          0.200	 -0.005
          0.202	 -0.005
          0.204	 -0.005
          0.206	 -0.010
          0.208	 -0.020
          0.210	 -0.025
          0.212	 -0.030
          0.214	 -0.035
          0.216	 -0.035
          0.218	 -0.040
          0.220	 -0.040
          0.222	 -0.040
          0.224	 -0.040
          0.226	 -0.040
          0.228	 -0.035
          0.230	 -0.030
          0.232	 -0.030
          0.234	 -0.025
          0.236	 -0.020
          0.238	 -0.020
          0.240	 -0.020
          0.242	 -0.020
          0.244	 -0.025
          0.246	 -0.035
          0.248	 -0.040
          0.250	 -0.050
          0.252	 -0.060
          0.254	 -0.075
          0.256	 -0.085
          0.258	 -0.095
          0.260	 -0.100
          0.262	 -0.095
          0.264	 -0.085
          0.266	 -0.055
          0.268	 -0.010
          0.270	  0.055
          0.272	  0.125
          0.274	  0.205
          0.276	  0.275
          0.278	  0.335
          0.280	  0.375
          0.282	  0.385
          0.284	  0.365
          0.286	  0.320
          0.288	  0.250
          0.290	  0.165
          0.292	  0.075
          0.294	 -0.015
          0.296	 -0.095
          0.298	 -0.155
          0.300	 -0.200
          0.302	 -0.230
          0.304	 -0.245
          0.306	 -0.250
          0.308	 -0.245
          0.310	 -0.235
          0.312	 -0.220
          0.314	 -0.200
          0.316	 -0.180
          0.318	 -0.160
          0.320	 -0.140
          0.322	 -0.115
          0.324	 -0.100
          0.326	 -0.080
          0.328	 -0.070
          0.330	 -0.065
          0.332	 -0.060
          0.334	 -0.060
          0.336	 -0.060
          0.338	 -0.060
          0.340	 -0.055
          0.342	 -0.050
          0.344	 -0.045
          0.346	 -0.035
          0.348	 -0.030
          0.350	 -0.025
          0.352	 -0.025
          0.354	 -0.020
          0.356	 -0.020
          0.358	 -0.020
          0.360	 -0.020
          0.362	 -0.015
          0.364	 -0.010
          0.366	 -0.005
          0.368	 -0.005
          0.370	  0.000
          0.372	  0.000
          0.374	 -0.005
          0.376	 -0.010
          0.378	 -0.015
